Date,Open,High,Low,Close,Adj Close,Volume
2022-05-03,159.570007,163.429993,159.259995,162.490005,158.487015,8827200
2022-05-04,164.970001,167.889999,163.470001,167.589996,163.461349,9183200
2022-05-05,169.259995,169.500000,162.649994,166.259995,162.164108,9807600
2022-05-06,168.270004,170.970001,165.419998,170.690002,166.484985,10418100
2022-05-09,167.750000,167.750000,158.479996,159.250000,155.326828,14110700
2022-05-10,162.210007,164.190002,157.869995,160.779999,156.819122,11636000
2022-05-11,163.580002,167.460007,162.509995,163.160004,159.140503,9105500
2022-05-12,163.220001,164.850006,158.860001,164.710007,160.652328,8936400
2022-05-13,166.500000,168.789993,164.880005,167.869995,163.734467,9229900
2022-05-16,169.000000,174.970001,168.860001,173.009995,168.747833,13296300
2022-05-17,174.839996,175.649994,172.610001,174.029999,169.742706,12827600
2022-05-18,174.119995,174.130005,165.789993,168.059998,165.268295,13107500
2022-05-19,164.630005,169.639999,162.830002,166.860001,164.088242,10958700
2022-05-20,168.880005,171.039993,164.089996,167.820007,165.032288,9615000
2022-05-23,169.429993,172.960007,169.110001,171.720001,168.867508,10216400
2022-05-24,170.690002,173.580002,169.809998,172.639999,169.772217,9782700
2022-05-25,173.139999,175.990005,172.970001,175.410004,172.496201,10174500
2022-05-26,176.490005,177.929993,175.009995,176.589996,173.656601,11213900
2022-05-27,176.520004,178.350006,175.690002,178.279999,175.318527,10512300
2022-05-31,179.960007,180.960007,173.470001,174.660004,171.758667,20547600
2022-06-01,176.729996,178.130005,174.940002,176.320007,173.391098,8824100
2022-06-02,174.740005,176.509995,174.100006,176.000000,173.076401,7441900
2022-06-03,176.000000,178.250000,176.000000,177.600006,174.649826,8435300
2022-06-06,177.899994,178.000000,175.509995,176.830002,173.892609,6734200
2022-06-07,177.470001,180.660004,176.919998,180.199997,177.206635,9668300
2022-06-08,180.949997,182.399994,180.250000,181.130005,178.121185,8715200
2022-06-09,180.029999,180.639999,177.389999,177.520004,174.571152,9764600
2022-06-10,176.369995,178.570007,173.649994,175.399994,172.486374,9529700
2022-06-13,171.610001,172.000000,164.059998,167.330002,164.550415,14614900
2022-06-14,169.369995,172.289993,165.839996,167.550003,164.766769,10269300
2022-06-15,166.779999,167.850006,161.940002,164.259995,161.531418,11565300
2022-06-16,159.940002,160.539993,153.750000,155.479996,152.897247,18125900
2022-06-17,154.880005,155.470001,145.789993,148.380005,145.915207,35575100
2022-06-21,152.050003,156.020004,151.440002,154.589996,152.022049,13772000
2022-06-22,148.070007,150.800003,146.330002,147.869995,145.413681,13735800
2022-06-23,148.789993,149.229996,140.149994,142.429993,140.064026,15713700
2022-06-24,145.199997,147.089996,142.600006,144.770004,142.365173,11108300
2022-06-27,145.860001,148.820007,145.600006,147.570007,145.118668,9242400
2022-06-28,150.880005,152.190002,148.110001,149.940002,147.449295,9183300
2022-06-29,151.630005,152.110001,146.089996,146.979996,144.538452,9082900
2022-06-30,144.550003,147.919998,143.410004,144.779999,142.375000,10685000
2022-07-01,146.600006,146.960007,142.470001,146.509995,144.076263,7684600
2022-07-05,143.649994,144.539993,139.410004,142.660004,140.290237,11513100
2022-07-06,141.660004,143.259995,136.800003,140.779999,138.441452,12421200
2022-07-07,144.100006,145.300003,143.080002,143.520004,141.135941,12741800
2022-07-08,144.880005,145.449997,141.089996,142.770004,140.398392,7915500
2022-07-11,141.910004,142.850006,139.929993,141.509995,139.159317,7056800
2022-07-12,138.500000,139.619995,137.259995,138.919998,136.612350,8653900
2022-07-13,137.610001,140.729996,137.139999,137.990005,135.697800,9414600
2022-07-14,134.309998,136.160004,132.539993,135.940002,133.681854,10150200
2022-07-15,138.960007,138.960007,136.429993,137.649994,135.363434,7051900
2022-07-18,140.559998,142.139999,139.080002,139.580002,137.261383,7943900
2022-07-19,139.690002,145.009995,139.419998,144.610001,142.207840,9152100
2022-07-20,144.500000,147.259995,143.320007,146.520004,144.086105,7856600
2022-07-21,143.119995,145.470001,141.500000,145.399994,142.984695,6724200
2022-07-22,145.559998,146.300003,143.419998,144.190002,141.794815,5889500
2022-07-25,145.699997,148.610001,144.179993,148.479996,146.013550,6210900
2022-07-26,149.500000,150.679993,146.529999,147.320007,144.872818,6112800
2022-07-27,148.339996,150.199997,146.660004,149.259995,146.780579,6223000
2022-07-28,150.690002,151.470001,148.029999,150.389999,147.891815,6574300
2022-07-29,156.539993,164.660004,155.899994,163.779999,161.059387,17143700
2022-08-01,161.179993,161.860001,159.149994,160.509995,157.843704,8017800
2022-08-02,160.889999,161.470001,158.300003,159.139999,156.496460,5928300
2022-08-03,159.309998,159.960007,154.350006,155.360001,152.779266,8751400
2022-08-04,155.320007,155.440002,150.729996,151.139999,148.629364,10640000
